zip,city,address,state,visited
28758,MOUNTAIN HOME,524 Courtland Blvd, NC,n
27958,MOYOCK,574 Caratoke Hwy, NC,n
28120,MT HOLLY,806 W Central Ave, NC,n
28365,MT OLIVE,611 N Breazeale Ave, NC,n
28124,MT PLEASANT,1498 S Main St, NC,n
28125,MT ULLA,775 Grampian Rd, NC,n
27855,MURFREESBORO,115 N Wynn St, NC,n
28906,MURPHY,388 VALLEY RIVER AVE, NC,n
27959,NAGS HEAD,100 W Deering St, NC,n
28455,NAKINA,7731 7 Creeks Hwy, NC,n
28760,NAPLES,121 S Naples Rd, NC,n
27856,NASHVILLE,504 S Barnes St, NC,y
28761,NEBO,229 Nebo School Rd, NC,n
28560,NEW BERN,233 Middle St # 101, NC,y
27562,NEW HILL,3525 Old US 1 Hwy, NC,y
28127,NEW LONDON,212 S Main St, NC,n
28126,NEWELL,8105 Old Concord Rd, NC,n
28657,NEWLAND,124 Elk St, NC,n
28570,NEWPORT,337 Howard Blvd, NC,n
28658,NEWTON,218 S MAIN AVE, NC,n
28366,NEWTON GROVE,208 Fayetteville St, NC,y
27563,NORLINA,306 Liberty St, NC,y
28367,NORMAN,3664 NC Highway 220 N, NC,n
28659,NORTH WILKESBORO,300 8th St, NC,n
28128,NORWOOD,243 S Main St, NC,n
27857,OAK CITY,100 E Commerce St, NC,n
27310,OAK RIDGE,8323 Linville Rd, NC,n
28129,OAKBORO,302 N Main St, NC,n
27960,OCRACOKE,1122 Irvin Garrish Hwy, NC,n
28762,OLD FORT,180 E Main St, NC,n
28660,OLIN,583 Olin Rd, NC,n
28368,OLIVIA,480 State Road 1207, NC,y
28571,ORIENTAL,809 Broad St, NC,y
28369,ORRUM,1545 S Creek Rd, NC,n
28763,OTTO,8491 Georgia Rd, NC,n
27565,OXFORD,144 MAIN ST, NC,y
27860,PANTEGO,26022 US-264 ALT, NC,y
28371,PARKTON,29 S Fayetteville St, NC,n
28661,PATTERSON,2008 ROBY MARTIN RD, NC,n
28130,PAW CREEK,7400 Old Mt Holly Rd, NC,n
28133,PEACHLAND,14 W Passaic St, NC,n
27311,PELHAM,6331 Old U.S. Hwy 29, NC,y
28372,PEMBROKE,404 E 3rd St, NC,n
27862,PENDLETON,7488 NC-35, NC,y
28765,PENLAND,1162 Penland Rd, NC,n
28766,PENROSE,5858 Old Hendersonville Hwy, NC,n
27040,PFAFFTOWN,4715 Yadkinville Rd, NC,n
27863,PIKEVILLE,214 Big Daddy's Rd, NC,y
27041,PILOT MOUNTAIN,647K S Key St, NC,n
27042,PINE HALL,1716 Pine Hall Rd, NC,n
27568,PINE LEVEL,121 W Pine St, NC,y
28373,PINEBLUFF,125 N Walnut St, NC,y
28374,PINEHURST,80 BLAKE BLVD, NC,y
28662,PINEOLA,2884 Linville Falls Hwy, NC,n
27864,PINETOPS,108 SW 1st St, NC,n
27865,PINETOWN,378 Main St, NC,y
28134,PINEVILLE,206 College St, NC,n
28663,PINEY CREEK,4216 Piney Post Office Rd, NC,n
28572,PINK HILL,5951 NC-11 S, NC,y
27043,PINNACLE,2870 N Old 52 Rd, NC,n
28768,PISGAH FOREST,1 Old Hendersonville Hwy, NC,n
27312,PITTSBORO,916 East St, NC,y
27313,PLEASANT GARDEN,4621 Pleasant Garden Rd, NC,y
27866,PLEASANT HILL,4366 US-301, NC,y
28664,PLUMTREE,4420 S US Hwy 19E S, NC,n
27962,PLYMOUTH,113 W Main St, NC,n
27964,POINT HARBOR,9142 Caratoke Hwy, NC,n
28135,POLKTON,45 W Polk St, NC,n
28136,POLKVILLE,4418 Polkville Rd, NC,n
28573,POLLOCKSVILLE,125 Main St, NC,n
27965,POPLAR BRANCH,227 Poplar Branch Rd, NC,n
27867,POTECASI,3185 NC-35, NC,y
27966,POWELLS POINT,7664 Caratoke Hwy, NC,n
27967,POWELLSVILLE,103 Bethlehem Church Rd, NC,n
27569,PRINCETON,107 W Edwards St, NC,y
28375,PROCTORVILLE,101 W Main St, NC,n
27314,PROSPECT HILL,17 Main St, NC,y
27315,PROVIDENCE,48 Park Springs Rd, NC,n
28665,PURLEAR,226 Purlear Rd, NC,n
28376,RAEFORD,122 W ELWOOD AVE STE 102, NC,n
27611,RALEIGH,311 NEW BERN AVE, NC,y
27316,RAMSEUR,1514 Main St, NC,y
27317,RANDLEMAN,611 W ACADEMY ST, NC,y
27868,RED OAK,8382 Red Oak Blvd, NC,y
28377,RED SPRINGS,230 S MAIN ST, NC,n
27320,REIDSVILLE,201 PIEDMONT ST, NC,y
