zip,city,street,state,visited
27936,FRISCO,53590 NC-12,NC,false
27526,FUQUAY VARINA,131 N JUDD PKWY NE,NC,true
28441,GARLAND,107 S Bladen Ave,NC,false
27529,GARNER,267 Timber Dr,NC,true
27831,GARYSBURG,213 Old Highway Rd,NC,true
27832,GASTON,108 Roanoke Rapids Rd,NC,true
28052,GASTONIA,301 W MAIN AVE,NC,false
27937,GATES,958 NC-37 N,NC,false
27938,GATESVILLE,106 Court St,NC,false
27019,GERMANTON,3188 Nc 65 Hwy W,NC,false
28735,GERTON,5000 Gerton Hwy,NC,false
28343,GIBSON,4580 Main St,NC,false
27249,GIBSONVILLE,221 E Main St,NC,true
28627,GLADE VALLEY,18 Glade Valley Church Rd,NC,true
28628,GLEN ALPINE,102 Catawba St,NC,false
28629,GLENDALE SPRINGS,7471 NC-16,NC,false
28736,GLENVILLE,4907 N Highway 107,NC,true
28528,GLOUCESTER,310 PIGOTT RD,NC,false
28344,GODWIN,8817 Main St,NC,true
28071,GOLD HILL,14125 Highway 52,NC,false
27530,GOLDSBORO,3100 CASHWELL DR,NC,false
27252,GOLDSTON,50 E Goldbar Ave,NC,true
27253,GRAHAM,112 S MARSHALL ST,NC,false
27939,GRANDY,123 Forbes Loop Unit C,NC,false
28630,GRANITE FALLS,1 Lakeside Ave,NC,false
28072,GRANITE QUARRY,222 E Bank St,NC,false
28529,GRANTSBORO,10644 NC-55 Hwy,NC,true
28631,GRASSY CREEK,15500 Old NC-16,NC,false
28740,GREEN MOUNTAIN,273 Toe River Rd,NC,false
27420,GREENSBORO,5704 W MARKET ST,NC,false
27834,GREENVILLE,300 W 2ND ST,NC,true
28530,GRIFTON,466 Queen St,NC,true
27837,GRIMESLAND,7607 Pitt St,NC,true
28073,GROVER,102 Mulberry Rd,NC,false
27256,GULF,833 Thrift Rd,NC,true
27839,HALIFAX,28 S KING ST,NC,true
28442,HALLSBORO,4161 Sam Potts Hwy,NC,false
27840,HAMILTON,104 E Main St,NC,false
28345,HAMLET,105 W MAIN ST,NC,true
28443,HAMPSTEAD,121 Dan Owen Dr,NC,false
27020,HAMPTONVILLE,2943 Rocky Branch Rd,NC,false
27941,HARBINGER,8732 Caratoke Hwy,NC,false
28531,HARKERS ISLAND,823 Island Rd,NC,false
28634,HARMONY,3348 Harmony Hwy,NC,false
28444,HARRELLS,218 Tomahawk Hwy,NC,false
27942,HARRELLSVILLE,116 E Main St,NC,false
28074,HARRIS,173 HOGAN RD,NC,false
28075,HARRISBURG,4258 NC-49 S,NC,false
27841,HASSELL,1524 E Commerce St,NC,false
27943,HATTERAS,57689 NC-12,NC,false
28532,HAVELOCK,133 US HIGHWAY 70 W,NC,false
27258,HAW RIVER,105 Roxboro Rd,NC,false
